symbol,curr_id,industry,sector,employees,equity_type,isin,description
AAA,41912,Chemicals,Materials,3072,ORD,VN000000AAA4,"An Phat Bioplastics Joint Stock Company, formerly known as An Phat Plastic and Green Environment Joint Stock Company is a Vietnam-based company engaged in the manufacture of plastic products. The Company’s products include t-shirt plastic bags, plastic films, food-covered bags, nylon films, bags on roll, garbage bags and die cut handle bags. It also provides printing and advertising on packages and offers other products, such as plastic cutting and packing machinery, plastic printer and flow machinery. The Company has three factories in Vietnam. During the year ended December 31, 2012, 92.5% of the Company's revenue came from the sale of finished products. As of December 31, 2012, the Company had one subsidiary named An Phat - Yen Bai Mineral & Plastic Joint Stock Company, which was active in stone exploitation and construction material trading. As of the same date, it had one affiliate."
HOT,1006230,"Hotels, Restaurants & Leisure",Consumer Discretionary,-,ORD,VN000000HOT0,"Hoi An Tourist Holding Company, formerly Hoi An Tourist Service Joint Stock Company, is a Vietnam-based company engaged in hotel operations. Beside its hotel and beach resorts, the Company is active in the operations of full-service restaurants, coffee shops and bars. Moreover, the Company operates inbound and outbound tours, including tours to trade villages; provides tourist transportation services and acts as ticket agencies for different airlines. Other activities include laundry and the provision of leisure services on the beach, such as snorkeling with high speed boats, spa services, event organizing services and meeting-hall leasing services. During the year ended December 31, 2012, 56.27% of the Company's gross revenue came from the operations of hotels and beach resorts. As of December 31, 2011, the Company had four branches and two representative offices in Vietnam."
C92,41944,Construction & Engineering,Industrials,-,ORD,VN000000C929,"Construction and Investment Joint Stock Company No. 492 is a Vietnam-based company operating in the construction industry. The Company is engaged in the construction of bridges and traffic structures, irrigational works, marine and inland water ports, transformer stations and power transmission systems. It also manufactures and trades pre-cast concrete modules and other construction materials. In addition, the Company is involved in the trading of transportation equipment, the testing of construction materials and real estate operations through apartment and commercial building projects. As of Demember 31, 2012, the Company was a 51%-owned subsidiary of Civil Engineering Construction Corporation No.4 (Cienco 4)."
TQN,1006209,Real Estate Management & Development,Real Estate,329,ORD,VN000000TQN3,
QLT,1006208,Transportation Infrastructure,Industrials,-,ORD,VN000000QLT7,Wamico No 10 offers inland waterway transportation management and maintenance services. The company was incorporated in 2015 and is based in Vietnam.
PCF,1006207,Food & Staples Retailing,Consumer Staples,16,ORD,VN000000PCF7,"Petec Coffee Joint Stock Company is a Vietnam-based company primarily engaged in agricultural sector. Its leading business activities include the farming and processing of coffee beans, cashews, pepper seeds and macadamia nuts. The Company is also involved in the beneficiating of bentonite clay; the trading of industrial equipment and supplies, such as lightning arrestors, and the provision of logistics and goods transportation services."
CFC,1006206,Food Products,Consumer Staples,-,ORD,VN000000CFC5,"Cafico Vietnam Corporation is a Vietnam-based firm operating in the food processing industry, with major undertakings as the processing and trading of seafood. The Company's leading products include fresh and frozen shrimp, squid, octopus and mackerel, which are not only distributed within Vietnam, but also exported to Japan, Korea, Australia, Italy, Taiwan and Hong Kong, among others. Besides, the Company manufactures ice, and it provides supplies and materials for aquaculture and fishing activities. Cafico Vietnam Corporation is a member of Vietnam Association of Seafood Exporters and Producers (VASEP) and Vietnam Chamber of Commerce and Industry (VCCI)."
DTG,999091,Pharmaceuticals,Healthcare,270,ORD,VN000000DTG5,"Tipharco Pharmaceutical Joint Stock Company manufactures pharmaceuticals, medicinal chemicals, and botanical products. Tipharco Pharmaceutical Joint Stock Company was formerly known as Cong ty Duoc Tien Giang and changed its name to Tipharco Pharmaceutical Joint Stock Company in January, 2006. The company was incorporated in 1976 and is based in My Tho, Vietnam."
LDG,998172,Real Estate Management & Development,Real Estate,247,ORD,VN000000LDG2,"LDG Investment Joint Stock Company, formerly Dragon Land Real Estate Joint Stock Company, is a Vietnam-based company operating in the real estate industry, with major undertakings as the investment in and the development of various residential and commercial buildings for lease and for sale. The Company's major markets include southern provinces of Vietnam, such as Dong Nai, Binh Duong and Kien Giang. In order to support its major business activities, the Company also operates as a real estate broker. Together with its subsidiaries, the Company has expanded its businesses into the tourism industries, with regular activities as resort management, hotel and restaurant operation, as well as excursion organization."
BAX,999090,Real Estate Management & Development,Real Estate,-,ORD,VN000000BAX4,"Thong Nhat Joint Stock Company is a Vietnam-based company primarily engaged in real estate development and operations sector. Its business activities include the development of industrial zones infrastructure, the leasing of vacant land lots and manufacturing facilities in Bau Xeo industrial park, as well as the provision of support activities to the Company's tenants, such as clean water supply, waste collection and sewage treatment. The Company is also involved in the construction of residential properties, office towers and other civil buildings for rent."
TVM,998146,Coal,Energy,-,ORD,VN000000TVM5,"Vinacomin Industry Investment Consulting Joint Stock Company (Vimcc) is a Vietnam-based company operating in the coal mining industry, with major undertaking as the provision of coal mine surveying, designing, planning and engineering services. Besides, the Company partakes in the commerce of mining machinery and equipment, as well as the installation of electrical wirings for underground and open pit mines. The Company also operates as an industrial construction contractor."
TMG,998145,Metals & Mining,Materials,-,ORD,VN000000TMG6,"Vimico - Thai Nguyen Non - Ferrous Metal Joint Stock Company (TMC) is a Vietnam-based company primarily engaged in non-ferrous metals sector. The Company's leading business activities include the mining, smelting and refining of zinc bars, tin bars, zinc powder and lead, as well as the manufacture of sulfuric acid."
STS,998143,Air Freight & Logistics,Industrials,-,ORD,VN000000STS8,"Sai Gon Transport Agency Joint-Stock Company (Tranaco) is a Vietnam-based company, with major undertakings as the operation of marine port and the provision of multimodal transportation services. The Company partakes in the management of Tan Thuan Dong port located in district 7, Ho Chi Minh city, and its regular business activities include marine cargo handling, vessel towing, ship navigating and warehouse operating. Besides, Tranaco is engaged in the ground and marine transportation of heavy goods, as well as the leasing of commercial real estate properties."
TAW,998144,,,,,,
SDV,998142,Commercial Services & Supplies,Industrials,206,ORD,VN000000SDV6,"Sonadezi Services Joint-Stock Company is a Vietnam-based company engaged in the environmental sanitation industry. In particular, it offers consultation services on environmental issues, as well as sewage and waste treatment services. It is also involved in the provision of restaurant services through its restaurant network located in industrial zones. In addition, it provides security services though its subsidiary, SDV Security Service Company Limited. Other services include advertising, organizing events, cleaning industrial and civil works, planting and care of trees, installing lighting and billboard systems, managing office and apartment buildings, as well as leasing offices and warehouses."
SCO,998141,Machinery,Industrials,-,ORD,VN000000SCO3,"Seaproducts Mechanical Shareholding Company (SEAMECO) is a Vietnam-based company which partakes in diversified business activities. The Company is engaged in the manufacture of various water transportation vehicles, such as ships, boats and ferries, as well as many types of industrial and agricultural machinery and equipment, such as generators, pumps, air compressors and pesticide dispensers. Other major undertakings of the Company include the merchant wholesale of industrial supplies, together with the provision of marine port and logistics services, including ship navigating, marine cargo handling and warehouse operating."
QTP,998140,Independent Power and Renewable Electricity Producers,Utilities,917,ORD,VN000000QTP8,"Quang Ninh Thermal Power Joint Stock Company is a Vietnam-based independent power producer. The Company's leading business activity is the operation of Quang Ninh Thermal Power Plant. The Company is also involved in the trading of construction materials, the manufacture of ready-mix concrete, as well as the construction of civil engineering projects."
PTP,998138,Media,Communication Services,-,ORD,VN000000PTP0,"Post Printing and Telecommunication Services Joint Stock Company engaged in the printing industry. The Company provides commercial printing services on various types of cards, such as Subscriber Identity Module (SIM) cards, phone cards, credit cards and magnetic cards, as well as manufactures telecommunications cards. It is also involved in the printing of bills and directories for the telecommunications industry. In addition, the Company is engaged in the printing of books, newspapers, magazines and other materials for the telecommunications industry."
QHW,998139,Food Processing,Consumer/Non-Cyclical,-,ORD,VN000000QHW9,"Quang Ninh Mineral Water Corporation (QNW) is a Vietnam-based company primarily engaged the beverage sector. The Company's leading business activity is the production of naturally carbonated water, drinking spring water and flavored carbonated drinks under Quang Hanh and Suoi Mo brands. QNW is also involved in the supply of tap water and containerized water for household uses."
PEN,998137,Energy Equipment & Services,Energy,-,ORD,VN000000PEN7,"Petrolimex Installation No.III Joint Stock Company (PENJICO) is a Vietnam-based firm operating in the construction industry. The Company's business activities are categorized into three segments: construction, trading and services. PENJICO's construction segment includes oil storage tank installation, oil and power industry infrastructure erection and civil project construction. The Company's trading segment covers the commerce of diversified durable and non-durable goods, such as garment and industrial equipment. PENJICO's services segment comprises the leasing of offices, factories and warehouses; freight transportation and hotel operation."
MVC,998135,Construction Materials,Materials,-,ORD,VN000000MVC1,"Binh Duong Building Materials and Construction Corporation (M&C Binh Duong) is a Vietnam-based company primarily engaged in construction materials sector. The Company's leading business activities include the mining and quarrying of various sized dimension construction stones; the construction, operation and toll collection of highways and bridges; the manufacture of refractory clay products, such as structural bricks, roofing and paving tiles, among others, and the erection of industrial and commercial buildings, comprising schools, sport complexes and brick manufacturing factories. M&C Binh Duong is also involved in the development and trading of real estate properties, as well as the provision of architectural services."
NAC,998136,,,,,,
LCC,998134,Construction Materials,Materials,-,ORD,VN000000LCC3,"Hong Phong Cement Joint Stock Company, formerly Lang Son Cement Joint Stock Company, is a Vietnam-based company operating in the construction materials industry. The Company is engaged in the manufacture and commerce of Portland Cement Blend 30 (PCB30), precast concrete, as well as other construction materials such as lime, gypsum, clay bricks and tiles. In order to support its manufacture activities, the Company is involved in the mining and quarrying of dimension stones, clay, sand and gravels. Besides, it provides quality control and appraisal services for cement production process."
HU6,998133,Real Estate Management & Development,Real Estate,-,ORD,VN000000HU68,"HUD6 City and Housing Development Investment Joint Stock Company is a Vietnam-based housing operative builder, which is engaged in the development of various residential buildings for sale in Hanoi. Besides, the Company partakes in the alteration, renovation and maintenance of residential buildings; the construction of commercial and industrial infrastructures; the erection of structural steel and the installation of building equipment, as well as the wholesale of electrical apparatus and wiring supplies, among others."
HSA,998132,Business Services,Services,-,ORD,VN000000HSA1,"Hestia Joint Stock Company is a Vietnam-based company primarily engaged in business support services sector. The Company's leading business activities include the provision of business management consultation, such as campaign planning, financial decision making, market positioning and human resources managing, as well as the trading of securities on its own account."
HPW,998131,Water Utilities,Utilities,1151,ORD,VN000000HPW1,"Hai Phong Water Joint Stock Company is a Vietnam-based utilities company. It is primarily engaged in the collection, treatment and distribution of water. The Company is also involved in the installation of plumbing fixtures, the construction of water line structures, the leasing of office spaces and other properties, as well as the trading of drinking water and water construction supplies."
HDP,998130,Chemicals,Materials,-,ORD,VN000000HDP1,"Hatinh Pharmaceutical Joint Stock Company (Hadiphar) is a Vietnam-based company primarily engaged in pharmaceuticals sector. The Company's leading business activities include the manufacture and distribution of diversified medicinal products, such as antibiotics, pain killers, anti-inflammatory and anti-allergy drugs, topical cream, nervine tonics, vitamins, Chinese medicine and functional food, among others. Hadiphar is also involved in the production of medicinal materials and the wholesale of pharmaceuticals."
FOX,998128,Diversified Telecommunication Services,Communication Services,9500,ORD,VN000000FOX6,"FPT Telecom Joint Stock Company is a Vietnam-based company primarily engaged in telecommunications services sector. The Company's leading business activities include the provision of wired Internet services; the operation of cable television services, and the offering of a multimedia entertainment platform for access to online television, films, music and sports programs subscriptions. FPT Telecom is also involved in data hosting, storage and sharing, as well as online music store."
GEG,998129,Electric Utilities,Utilities,665,ORD,VN000000GEG0,"Gia Lai Electricity Joint Stock Company (GEC) is a Vietnam-based renewable independent power producer. The Company's main business activities is the generation of electricity via the operation and management of hydro power plants and solar power plant. The Company is also engaged in the construction of power lines, power transmission infrastructure and public lighting systems; the installation of electrical equipment and machinery for power plants, and the manufacture of precast centrifugal concrete structures, as well as galvanized mechanical components. GEC is also involved in the provision of architectural and engineering services, construction consultation and supervision services for power plants."
DPG,998126,Construction & Engineering,Industrials,500,ORD,VN000000DPG3,"Dat Phuong Group JSC is a Vietnam-based company engaged in the construction industry. The Company is mainly involved in transportation infrastructure construction, such as highways, bridges, tunnels and hydroelectric power plants. Besides, the Company invests in small and medium-scale hydroelectric plants. In addition, the Company also operates real estate business, such as investing in and developing residences areas in Hoi An and Binh Duong City. Another activity of the Company is the trading of materials, machinery and equipment for construction."
EAD,998127,,,,,,
DCF,998125,Construction & Engineering,Industrials,74,ORD,VN000000DCF3,"Design and Construction Joint Stock Company No.1 engages in the design and construction of civil and industrial projects in Vietnam. The company was incorporated in 2003 and is based in Ho Chi Minh City, Vietnam."
DC1,998124,Construction Services,Capital Goods,-,ORD,VN000000DC15,"Development Investment Construction Number 1 Joint Stock Company (DIC - No 1) is a Vietnam-based company primarily engaged in the construction sector. It operates as a contractor for the construction of residential, institutional and commercial buildings, as well as traffic infrastructures. The Company's leading activities include the installation of plumbing and electrical systems, the treatment of soft ground, the surfacing of roads, the construction of road drainage systems and the erection of street lights, among others. Besides, DIC - No 1 is also involved in the provision of engineering services and the trading of construction materials. The Company mainly operates in Ba Ria - Vung Tau and Dong Nai provinces."
CHS,998122,Commercial Services & Supplies,Industrials,-,ORD,VN000000CHS7,"Ho Chi Minh City Public Lighting Joint Stock Company (Sapulico) is a Vietnam-based electrical contractor. The Company's leading business activity is the maintenance of public lighting, surveillance camera and traffic light systems. Sapulico is also involved in the installation of new lighting systems, the design and consultation of electrical construction, as well as the repair of damaged public lamp posts."
CCR,998121,Transportation Infrastructure,Industrials,-,ORD,VN000000CCR0,"Cam Ranh Port Joint Stock Company is a Vietnam-based company engaged in the marine port service industry. The Company is involved in the marine port service business, including marine cargo handling services, anchor berth services and navigational services. It also operates in the leasing of warehouses and storage. Besides, the Company participates in freight transportation by deep-sea ships, inland ships and trucks. It also offers petroleum supply for ships. In addition, the Company is engaged in the machinery and equipment rental sector, along with mechanical, electrical repair and maintenance services for machinery and equipment. Other activities of the Company are civil structure construction, industrial equipment installation and tourism, such as restaurants and hotels."
BLI,998119,Insurance,Financial,-,ORD,VN000000BLI2,"Bao Long Insurance Corporation (Bao Long) is a Vietnam-based company operating in the insurance industry. The Company is mainly engaged in the provision of diversified non-life insurance services, including health, title, property and casualty insurance. Besides, the Company operates as a reinsurer."
BTB,998120,,,,,,
BDG,998118,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,2300,ORD,VN000000BDG3,"Protrade Garment Joint Stock Company (Protrade Garment) is a Vietnam-based company operating in the textile industry, with major undertakings as the manufacture and wholesale of men's, women's and children's apparels. The Company’s leading products include jeans, shirts, as well as woven and other types of trousers, which are mainly exported to American and European markets. Besides, the Company operates as a cut and sew apparel contractor for domestic firms, and it also trades industrial supplies and scraps."
AMP,998117,Health Care Equipment & Supplies,Healthcare,1000,ORD,VN000000AMP7,"Armephaco Joint Stock Company is a Vietnam-based company primarily engaged in medical equipment sector. Its leading business activities include the manufacture and distribution of medical devices and equipment, such as glucose meters, sphygmomanometers, beds, medical exam tables, stools and syringe destroyers, among others. The Company is also involved in the production and trading of diversified medicines, including antibiotics, vitamins, pain relievers, antipyretics, gastrointestinal and anti-allergic drugs."
AGX,998116,Food Products,Consumer Staples,2,ORD,VN000000AGX3,"Saigon Export Foodstuffs and Agricultural Products Joint Stock Company (AGREX SAIGON) is a Vietnam-based company, which is mainly engaged in the processing and trading of seafood and other agricultural products, such as grain, coffee and tea, among others. Besides, the Company has expanded its business into the real estate industry, with the development of various industrial, commercial and residential infrastructures for lease."
